station,linear_regression train,linear_regression test,moving_average train,moving_average test,naive_forecast train,naive_forecast test
Anchieta Centro,0.4940595333168567,0.549079776718274,9.128976507959589,9.280960485515598,0.8199279377213593,0.8226273563734291
Carapina,0.564936837154243,0.6167242699305082,6.22034560527893,7.00364791740308,0.7668280364746655,0.8730593315421866
Cariacica,0.8400775036204564,0.7188655489131609,11.627958343012011,9.844271615042882,1.227501760709255,1.0676210097565595
Cidade Continental,0.7467041449364088,0.8463196873633438,8.42931323058234,9.822662568766589,0.9699207681813412,1.0704528708269567
Enseada do Sua,0.5823757934571512,0.5555604009082783,8.90224279572251,9.4092958750455,0.8081035410934322,0.8250787733519463
Jardim Camburi,0.4292066315238133,0.4398936114810163,6.535256735574007,4.31249849824672,0.5578088427461623,0.5426400914883189
Laranjeiras,1.020931644344948,0.6903123851779082,16.868087091885624,10.932450043125357,1.3515572687623287,0.9312721403268198
Mae-Ba,0.6110111812102315,0.5479400978661317,8.195947154581008,10.139005076400284,0.8438445963495549,0.6970561277367534
Meaipe,0.5193568706827273,0.5916881875000296,8.87291110116589,10.261048202614996,0.7354319660641059,0.8353317998048236
Ubu,0.58752451616116,0.5906820464659777,8.743741187751013,7.52080468997722,0.8196144581574104,0.8229119062731408
Vila Velha-Centro,0.5324946464863761,0.5064230399770081,5.47945444072644,5.968747302291816,0.7225277974923113,0.6970590433606189
Vila Velha-IBES,0.6240992644962422,0.5836582267931097,7.332729005524219,6.815146715377575,0.863700637570433,0.7343668782595922
Vitoria-Centro,0.5388879739435442,0.4640686397764966,8.04690187625877,5.181447362574682,0.7496808542778762,0.6316141546887102
